source,bill_id,top_level_value,candidate_texts_json,candidate_evidence_json
popular,s320-102,Chemical & Biological Weapons (Export Administration Reauthorization) bill,"[""Chemical & Biological Weapons (Export Administration Reauthorization) bill"",""Export Administration Reauthorization (Chemical & Biological Weapons) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Chemical & Biological Weapons (Export Administration Reauthorization) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Export Administration Reauthorization (Chemical & Biological Weapons) bill"",""type"":""popular""}]"
popular,s323-102,Family Planning (Title X/Gag Order) bill,"[""Family Planning (Title X/Gag Order) bill"",""Gag Order (Title X-Pregnancy Counseling) bill"",""Gag Order (Title X/Family Planning) bill"",""Title X (Family Planning) bill"",""Title X (Family Planning/Gag Order) bill"",""Title X-Pregnancy Counseling (Gag Order) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Family Planning (Title X/Gag Order) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Gag Order (Title X-Pregnancy Counseling) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Gag Order (Title X/Family Planning) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Title X (Family Planning) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Title X (Family Planning/Gag Order) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Title X-Pregnancy Counseling (Gag Order) bill"",""type"":""popular""}]"
popular,s341-102,CAFE (Motor Vehicle Fuel Efficiency) bill,"[""CAFE (Motor Vehicle Fuel Efficiency) bill"",""Motor Vehicle Fuel Efficiency (CAFE) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""CAFE (Motor Vehicle Fuel Efficiency) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Motor Vehicle Fuel Efficiency (CAFE) bill"",""type"":""popular""}]"
popular,s403-102,Boating/Recreational Vessels (User Fee) bill,"[""Boating/Recreational Vessels (User Fee) bill"",""User Fee (Boating/Recreational Vessels) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Boating/Recreational Vessels (User Fee) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""User Fee (Boating/Recreational Vessels) bill"",""type"":""popular""}]"
popular,s429-102,Price Fixing (Retail Price Maintenance) bill,"[""Price Fixing (Retail Price Maintenance) bill"",""Retail Price Maintenance (Price Fixing) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Price Fixing (Retail Price Maintenance) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Retail Price Maintenance (Price Fixing) bill"",""type"":""popular""}]"
popular,s542-102,Education Loans Deduction bill,"[""Education Loans Deduction bill"",""Student Loan Deduction for Interest bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Education Loans Deduction bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Student Loan Deduction for Interest bill"",""type"":""popular""}]"
popular,s543-102,Banking (Comprehensive Deposit Insurance Reform) bill,"[""Banking (Comprehensive Deposit Insurance Reform) bill"",""Comprehensive Deposit Insurance Reform (Banking Bill)"",""Truth in Savings bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Banking (Comprehensive Deposit Insurance Reform) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Comprehensive Deposit Insurance Reform (Banking Bill)"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Truth in Savings bill"",""type"":""popular""}]"
popular,s612-102,Individual Retirement Accounts bill,"[""Individual Retirement Accounts bill"",""Individual Retirement Accounts (First Time Homebuyer) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Individual Retirement Accounts bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Individual Retirement Accounts (First Time Homebuyer) bill"",""type"":""popular""}]"
popular,s843-102,Boating/Recreational Vessels (User Fee) bill,"[""Boating/Recreational Vessels (User Fee) bill"",""User Fee (Boating/Recreational Vessels) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Boating/Recreational Vessels (User Fee) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""User Fee (Boating/Recreational Vessels) bill"",""type"":""popular""}]"
popular,s1081-102,Clean Water (Water Pollution Control) bill,"[""Clean Water (Water Pollution Control) bill"",""Water Pollution Control (Clean Water) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Clean Water (Water Pollution Control) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Water Pollution Control (Clean Water) bill"",""type"":""popular""}]"
popular,s1177-102,National Health Insurance (Rockefeller/Pepper Commission) bill,"[""National Health Insurance (Rockefeller/Pepper Commission) bill"",""Rockefeller/Pepper Commission (National Health Insurance) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""National Health Insurance (Rockefeller/Pepper Commission) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Rockefeller/Pepper Commission (National Health Insurance) bill"",""type"":""popular""}]"
popular,s1197-102,Family Planning (Title X/Gag Order) bill,"[""Family Planning (Title X/Gag Order) bill"",""Gag Order (Title X-Pregnancy Counseling) bill"",""Gag Order (Title X/Family Planning) bill"",""Title X (Family Planning) bill"",""Title X (Family Planning/Gag Order) bill"",""Title X-Pregnancy Counseling (Gag Order) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Family Planning (Title X/Gag Order) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Gag Order (Title X-Pregnancy Counseling) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Gag Order (Title X/Family Planning) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Title X (Family Planning) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Title X (Family Planning/Gag Order) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Title X-Pregnancy Counseling (Gag Order) bill"",""type"":""popular""}]"
popular,s1198-102,Corporate Pay bill,"[""Corporate Pay bill"",""Stockholder Executive Pay bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Corporate Pay bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Stockholder Executive Pay bill"",""type"":""popular""}]"
popular,s1260-102,Brady (Waiting Period/Gun Control) bill,"[""Brady (Waiting Period/Gun Control) bill"",""Gun Control (Waiting Period/Brady Bill) bill"",""Waiting Period (Gun Control/Brady Bill) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Brady (Waiting Period/Gun Control) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Gun Control (Waiting Period/Brady Bill) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Waiting Period (Gun Control/Brady Bill) bill"",""type"":""popular""}]"
popular,s1394-102,Credit Card (Tax Simplification) bill,"[""Credit Card (Tax Simplification) bill"",""Tax Simplification (Credit Card) bill""]","[{""as"":null,""is_for_portion"":false,""title"":""Credit Card (Tax Simplification) bill"",""type"":""popular""},{""as"":null,""is_for_portion"":false,""title"":""Tax Simplification (Credit Card) bill"",""type"":""popular""}]"
